SID,NAME,YEAR,START_DATE,END_DATE,DURATION_DAYS
1999003N05114,UNNAMED,1999,1999-01-02,1999-01-08,5
1999096N10136,UNNAMED,1999,1999-04-08,1999-04-11,1
1999116N14114,LEO,1999,1999-04-24,1999-05-04,8
1999155N15117,UNNAMED,1999,1999-06-02,1999-06-07,3
1999151N09132,MAGGIE,1999,1999-06-03,1999-06-09,4
1999203N17129,NEIL,1999,1999-07-22,1999-07-25,2
1999204N17117,UNNAMED,1999,1999-07-22,1999-07-28,5
1999218N21116,RACHEL,1999,1999-08-04,1999-08-08,2
1999230N12129,SAM,1999,1999-08-18,1999-08-24,5
1999241N12133,WENDY,1999,1999-08-31,1999-09-05,3
1999253N17124,YORK,1999,1999-09-08,1999-09-18,9
1999266N18113,CAM,1999,1999-09-21,1999-09-27,5
1999275N16135,DAN,1999,1999-10-03,1999-10-10,6
1999288N12129,EVE,1999,1999-10-14,1999-10-21,5
1999310N09138,FRANKIE,1999,1999-11-07,1999-11-11,3
1999334N11118,UNNAMED,1999,1999-11-28,1999-12-05,5
1999342N08116,UNNAMED,1999,1999-12-06,1999-12-12,4
1999348N12115,UNNAMED,1999,1999-12-13,1999-12-17,3
2000138N16119,LONGWANG,2000,2000-05-16,2000-05-19,2
2000141N18116,UNNAMED,2000,2000-05-19,2000-05-23,3
2000150N11117,UNNAMED,2000,2000-05-28,2000-06-02,4
2000169N17114,UNNAMED,2000,2000-06-15,2000-06-19,3
2000185N15117,KAI-TAK,2000,2000-07-01,2000-07-10,7
2000193N10131,UNNAMED,2000,2000-07-12,2000-07-21,8
2000196N16122,UNNAMED,2000,2000-07-12,2000-07-16,2
2000202N12131,BOLAVEN,2000,2000-07-21,2000-07-25,3
2000232N12116,KAEMI,2000,2000-08-17,2000-08-24,6
2000230N08139,BILIS,2000,2000-08-20,2000-08-24,2
2000240N22115,MARIA,2000,2000-08-26,2000-09-02,6
2000237N08138,PRAPIROON,2000,2000-08-28,2000-08-30,1
2000248N17117,WUKONG,2000,2000-09-03,2000-09-11,7
2000248N18126,BOPHA,2000,2000-09-08,2000-09-13,3
2000281N11111,UNNAMED,2000,2000-10-05,2000-10-15,9
2000295N20146,YAGI,2000,2000-10-24,2000-10-29,4
2000299N08139,XANGSANE,2000,2000-10-26,2000-11-02,5
2000305N06136,BEBINCA,2000,2000-11-01,2000-11-09,7
